diputado_id,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,sexo_valor,sexo_desc,periodo_id,fecha_inicio_periodo,fecha_termino_periodo,tiene_votos
1110,Carlos,Bianchi,Chelech,1960-11-04,1,Masculino,10,2026-03-10 23:59:59,,True
815,Sergio,Bobadilla,Muñoz,1958-03-25,1,Masculino,10,2026-03-10 23:59:59,,True
1111,Fernando,Bórquez,Montecinos,1968-06-06,1,Masculino,10,2026-03-10 23:59:59,,True
1112,Ana María,Bravo,Castro,1973-12-03,0,Femenino,10,2026-03-10 23:59:59,,True
1113,Marta,Bravo,Salinas,1976-02-25,0,Femenino,10,2026-03-10 23:59:59,,True
1015,Jorge,Brito,Hasbún,1990-01-12,1,Masculino,10,2026-03-10 23:59:59,,True
1114,Félix,Bugueño,Sotelo,1973-05-18,1,Masculino,10,2026-03-10 23:59:59,,True
1115,Mercedes,Bulnes,Núñez,1950-06-06,0,Femenino,10,2024-11-22 00:00:00,,True
1016,Miguel Ángel,Calisto,Águila,1985-07-19,1,Masculino,10,2026-03-10 23:59:59,,True
1116,Felipe,Camaño,Cárdenas,1991-08-21,1,Masculino,10,2026-03-10 23:59:59,,True
973,Karol,Cariola,Oliva,1987-04-01,0,Femenino,10,2026-03-10 23:59:59,,True
1017,Álvaro,Carter,Fernández,1980-10-09,1,Masculino,10,2026-03-10 23:59:59,,True
1117,Nathalie,Castillo,Rojas,1983-07-02,0,Femenino,10,2026-03-10 23:59:59,,True
1019,José Miguel,Castro,Bascuñán,1974-08-05,1,Masculino,10,2026-03-10 23:59:59,,True
1021,Andrés,Celis,Montt,1975-04-08,1,Masculino,10,2026-03-10 23:59:59,,True
975,Daniella,Cicardini,Milla,1987-12-31,0,Femenino,10,2026-03-10 23:59:59,,True
1022,Sofía,Cid,Versalovic,1971-09-29,0,Femenino,10,2026-03-10 23:59:59,,True
1118,Ricardo,Cifuentes,Lillo,1962-09-12,1,Masculino,10,2026-03-10 23:59:59,,True
976,Juan Antonio,Coloma,Álamos,1980-03-14,1,Masculino,10,2026-03-10 23:59:59,,True
1119,Sara,Concha,Smith,1995-09-09,0,Femenino,10,2026-03-10 23:59:59,,True
1120,María Luisa,Cordero,Velásquez,1943-01-23,0,Femenino,10,2026-03-10 23:59:59,,True
1121,Eduardo,Cornejo,Lagos,1972-01-12,1,Masculino,10,2026-03-10 23:59:59,,True
1122,Luis Alberto,Cuello,Peña y Lillo,1977-01-24,1,Masculino,10,2026-03-10 23:59:59,,True
1123,Gonzalo,De la Carrera,Correa,1962-01-13,1,Masculino,10,2026-03-10 23:59:59,,True
1124,Tomás,De Rementería,Venegas,1987-03-17,1,Masculino,10,2025-05-05 23:59:59,,True
1025,Catalina,Del Real,Mihovilovic,1968-11-07,0,Femenino,10,2026-03-10 23:59:59,,True
1125,Viviana,Delgado,Riquelme,1973-09-04,0,Femenino,10,2026-03-10 23:59:59,,True
1126,Felipe,Donoso,Castro,1982-12-12,1,Masculino,10,2026-03-10 23:59:59,,True
1027,Jorge,Durán,Espinoza,1980-12-17,1,Masculino,10,2026-03-10 23:59:59,,True
1028,Eduardo,Durán,Salinas,1972-01-01,1,Masculino,10,2026-03-10 23:59:59,,True
1030,Camila,Flores,Oporto,1987-02-09,0,Femenino,10,2026-03-10 23:59:59,,True
1127,Lorena,Fries,Monleón,1960-04-01,0,Femenino,10,2026-03-10 23:59:59,,True
1031,Juan,Fuenzalida,Cobo,1973-07-01,1,Masculino,10,2026-03-10 23:59:59,,False
1128,Ana María,Gazmuri,Vieira,1966-01-22,0,Femenino,10,2026-03-10 23:59:59,,True
1129,Andrés,Giordano,Salazar,1986-12-29,1,Masculino,10,2026-03-10 23:59:59,,True
1034,Félix,González,Gatica,1972-05-26,1,Masculino,10,2026-03-10 23:59:59,,True
1130,Marta,González,Olea,1980-10-23,0,Femenino,10,2026-03-10 23:59:59,,False
1131,Mauro,González,Villarroel,1985-05-25,1,Masculino,10,2026-03-10 23:59:59,,True
1132,Jorge,Guzmán,Zepeda,1985-06-11,1,Masculino,10,2026-03-10 23:59:59,,True
1035,Carmen,Hertz,Cádiz,1945-06-19,0,Femenino,10,2026-03-10 23:59:59,,True
1036,Tomás,Hirsch,Goldschmidt,1956-07-19,1,Masculino,10,2026-03-10 23:59:59,,True
1037,Diego,Ibáñez,Cotroneo,1989-01-25,1,Masculino,10,2026-03-10 23:59:59,,True
1038,Marcos,Ilabaca,Cerda,1970-10-05,1,Masculino,10,2026-03-10 23:59:59,,True
1133,Juan,Irarrázaval,Rossel,1983-06-23,1,Masculino,10,2026-03-10 23:59:59,,True
1039,Pamela,Jiles,Moreno,1960-11-30,0,Femenino,10,2026-03-10 23:59:59,,True
1134,Andrés,Jouannet,Valderrama,1967-07-29,1,Masculino,10,2026-03-10 23:59:59,,False
1040,Harry,Jürgensen,Rundshagen,1968-09-03,1,Masculino,10,2026-03-10 23:59:59,,True
1135,Johannes,Kaiser,Barents-Von Hohenhagen,1976-01-05,1,Masculino,10,2026-03-10 23:59:59,,True
1094,Cristian,Labbé,Martínez,1980-03-06,1,Masculino,10,2026-03-10 23:59:59,,True
1136,Paula,Labra,Besserer,1987-05-04,0,Femenino,10,2026-03-10 23:59:59,,True
1137,Tomás,Lagomarsino,Guzmán,1990-07-13,1,Masculino,10,2026-03-10 23:59:59,,True
989,Joaquín,Lavín,León,1979-05-25,1,Masculino,10,2026-03-10 23:59:59,,True
1138,Henry,Leal,Bizama,1972-09-16,1,Masculino,10,2026-03-10 23:59:59,,True
1139,Enrique,Lee,Flores,1967-12-16,1,Masculino,10,2026-03-10 23:59:59,,True
1044,Raúl,Leiva,Carvajal,1974-03-24,1,Masculino,10,2026-03-10 23:59:59,,True
1140,Daniel,Lilayu,Vivanco,1949-03-02,1,Masculino,10,2026-03-10 23:59:59,,True
1046,Andrés,Longton,Herrera,1982-05-26,1,Masculino,10,2026-03-10 23:59:59,,True
1141,Luis,Malla,Valenzuela,1992-05-16,1,Masculino,10,2026-03-10 23:59:59,,True
1142,Daniel,Manouchehri,Lobos,1984-05-25,1,Masculino,10,2026-03-10 23:59:59,,True
1143,Cristóbal,Martínez,Ramírez,1984-04-30,1,Masculino,10,2026-03-10 23:59:59,,True
1048,Carolina,Marzán,Pinto,1963-12-22,0,Femenino,10,2026-03-10 23:59:59,,True
1144,Christian,Matheson,Villán,1957-12-17,1,Masculino,10,2026-03-10 23:59:59,,True
1145,Karen,Medina,Vásquez,1982-05-10,0,Femenino,10,2026-03-10 23:59:59,,True
1049,Cosme,Mellado,Pino,1960-02-24,1,Masculino,10,2026-03-10 23:59:59,,True
1050,Miguel,Mellado,Suazo,1958-12-29,1,Masculino,10,2026-03-10 23:59:59,,True
990,Daniel,Melo,Contreras,1979-02-18,1,Masculino,10,2026-03-10 23:59:59,,True
1146,José Carlos,Meza,Pereira,1989-03-07,1,Masculino,10,2026-03-10 23:59:59,,True
991,Vlado,Mirosevic,Verdugo,1987-05-23,1,Masculino,10,2026-03-10 23:59:59,,True
1051,Claudia,Mix,Jiménez,1969-07-13,0,Femenino,10,2026-03-10 23:59:59,,True
1147,Helia,Molina,Milman,1947-04-02,0,Femenino,10,2026-03-10 23:59:59,,True
1148,Javiera,Morales,Alvarado,1983-11-16,0,Femenino,10,2026-03-10 23:59:59,,True
1149,Carla,Morales,Maldonado,1977-10-27,0,Femenino,10,2026-03-10 23:59:59,,True
1053,Cristhian,Moreira,Barros,1961-09-05,1,Masculino,10,2026-03-10 23:59:59,,True
1150,Benjamín,Moreno,Bascur,1993-04-02,1,Masculino,10,2026-03-10 23:59:59,,True
872,Jaime,Mulet,Martínez,1963-08-03,1,Masculino,10,2026-03-10 23:59:59,,True
1054,Francesca,Muñoz,González,1980-03-07,0,Femenino,10,2026-03-10 23:59:59,,True
1151,Camila,Musante,Müller,1990-02-06,0,Femenino,10,2026-03-10 23:59:59,,True
74,Jaime,Naranjo,Ortiz,1951-01-12,1,Masculino,10,2026-03-10 23:59:59,,True
1152,Gloria,Naveillan,Arriagada,1960-11-03,0,Femenino,10,2026-03-10 23:59:59,,True
1056,Emilia,Nuyado,Ancapichun,1968-08-17,0,Femenino,10,2026-03-10 23:59:59,,True
1153,Coca Ericka,Ñanco,Vásquez,1992-03-20,0,Femenino,10,2026-03-10 23:59:59,,True
1154,Mauricio,Ojeda,Rebolledo,1982-01-19,1,Masculino,10,2026-03-10 23:59:59,,True
1057,Erika,Olivera,De La Fuente,1976-01-04,0,Femenino,10,2026-03-10 23:59:59,,True
1058,Maite,Orsini,Pascal,1988-02-23,0,Femenino,10,2026-03-10 23:59:59,,True
1059,Ximena,Ossandón,Irarrázabal,1963-12-13,0,Femenino,10,2026-03-10 23:59:59,,True
1155,Rubén Darío,Oyarzo,Figueroa,1980-12-13,1,Masculino,10,2026-03-10 23:59:59,,True
1156,Hernán,Palma,Pérez,1958-11-03,1,Masculino,10,2026-03-10 23:59:59,,True
1157,Marlene,Pérez,Cartes,1973-05-10,0,Femenino,10,2026-03-10 23:59:59,,True
1062,Joanna,Pérez,Olea,1976-04-01,0,Femenino,10,2026-03-10 23:59:59,,True
1063,Catalina,Pérez,Salinas,1990-12-18,0,Femenino,10,2026-03-10 23:59:59,,True
1158,Víctor Alejandro,Pino,Fuentes,1974-12-08,1,Masculino,10,2026-03-10 23:59:59,,True
1159,Lorena,Pizarro,Sierra,1966-02-14,0,Femenino,10,2026-03-10 23:59:59,,True
1160,Alejandra,Placencia,Cabello,1978-02-14,0,Femenino,10,2026-03-10 23:59:59,,True
1161,Francisco,Pulgar,Castillo,1971-05-27,1,Masculino,10,2026-03-10 23:59:59,,True
1065,Guillermo,Ramírez,Diez,1979-04-16,1,Masculino,10,2026-03-10 23:59:59,,True
1162,Matías,Ramírez,Pascal,1984-11-14,1,Masculino,10,2026-03-10 23:59:59,,True
1163,Marcia,Raphael,Mora,1963-12-06,0,Femenino,10,2026-03-10 23:59:59,,True
999,Jorge,Rathgeb,Schifferli,1967-12-28,1,Masculino,10,2026-03-10 23:59:59,,True
1067,Hugo,Rey,Martínez,1973-12-06,1,Masculino,10,2026-03-10 23:59:59,,True
1164,Marcela,Riquelme,Aliaga,1973-03-04,0,Femenino,10,2026-03-10 23:59:59,,True
948,Gaspar,Rivas,Sánchez,1978-05-17,1,Masculino,10,2026-03-10 23:59:59,,True
1068,Camila,Rojas,Valderrama,1991-03-11,0,Femenino,10,2026-03-10 23:59:59,,True
1165,Agustín,Romero,Leiva,1975-01-03,1,Masculino,10,2026-03-10 23:59:59,,True
1069,Leonidas,Romero,Sáez,1955-10-15,1,Masculino,10,2026-03-10 23:59:59,,True
1166,Natalia,Romero,Talguia,1985-06-29,0,Femenino,10,2026-03-10 23:59:59,,True
1070,Patricio,Rosas,Barrientos,1968-05-06,1,Masculino,10,2026-03-10 23:59:59,,False
1167,Jaime,Sáez,Quiroz,1985-12-09,1,Masculino,10,2026-03-10 23:59:59,,True
1168,Jorge,Saffirio,Espinoza,1953-06-09,1,Masculino,10,2026-03-10 23:59:59,,True
1169,Clara,Sagardía,Cabezas,1952-08-13,0,Femenino,10,2026-03-10 23:59:59,,True
1170,Luis,Sánchez,Ossa,1988-10-04,1,Masculino,10,2026-03-10 23:59:59,,True
1073,Juan,Santana,Castillo,1989-09-20,1,Masculino,10,2026-03-10 23:59:59,,True
1074,Marisela,Santibáñez,Novoa,1975-04-24,0,Femenino,10,2026-03-10 23:59:59,,True
953,Frank,Sauerbaum,Muñoz,1972-11-21,1,Masculino,10,2026-03-10 23:59:59,,True
1075,Diego,Schalper,Sepúlveda,1985-03-14,1,Masculino,10,2026-03-10 23:59:59,,True
1171,Emilia,Schneider,Videla,1996-10-23,0,Femenino,10,2026-03-10 23:59:59,,True
1172,Stephan,Schubert,Rubio,1977-12-19,1,Masculino,10,2026-03-10 23:59:59,,True
1076,Alexis,Sepúlveda,Soto,1969-12-29,1,Masculino,10,2026-03-10 23:59:59,,True
1173,Daniela,Serrano,Salazar,1995-03-17,0,Femenino,10,2026-03-10 23:59:59,,True
1002,Leonardo,Soto,Ferrada,1966-05-15,1,Masculino,10,2026-03-10 23:59:59,,True
1077,Raúl,Soto,Mardones,1987-11-20,1,Masculino,10,2026-03-10 23:59:59,,True
1174,Marco Antonio,Sulantay,Olivares,1973-03-31,1,Masculino,10,2026-03-10 23:59:59,,True
1175,Cristián,Tapia,Ramos,1968-07-14,1,Masculino,10,2026-03-10 23:59:59,,True
1176,Hotuiti,Teao,Drago,1977-08-01,1,Masculino,10,2026-03-10 23:59:59,,True
1177,Carolina,Tello,Rojas,1985-10-01,0,Femenino,10,2026-03-10 23:59:59,,True
1003,Renzo,Trisotti,Martínez,1976-03-15,1,Masculino,10,2026-03-10 23:59:59,,True
1178,Héctor,Ulloa,Aguilera,1969-08-06,1,Masculino,10,2026-03-10 23:59:59,,True
1081,Francisco,Undurraga,Gazitúa,1965-09-29,1,Masculino,10,2026-03-10 23:59:59,,True
1179,Alberto,Undurraga,Vicuña,1969-06-17,1,Masculino,10,2026-03-10 23:59:59,,True
1082,Cristóbal,Urruticoechea,Ríos,1975-11-21,1,Masculino,10,2026-03-10 23:59:59,,True
1180,Consuelo,Veloso,Ávila,1994-02-11,0,Femenino,10,2026-03-10 23:59:59,,True
1181,Nelson,Venegas,Salazar,1974-04-27,1,Masculino,10,2026-03-10 23:59:59,,True
1182,Sebastián,Videla,Castillo,1986-04-29,1,Masculino,10,2026-03-10 23:59:59,,True
917,Gastón,Von Mühlenbrock,Zamora,1954-12-26,1,Masculino,10,2026-03-10 23:59:59,,True
1183,Flor,Weisse,Novoa,1960-03-27,0,Femenino,10,2026-03-10 23:59:59,,True
1086,Gonzalo,Winter,Etcheberry,1987-01-06,1,Masculino,10,2026-03-10 23:59:59,,True
1087,Gael,Yeomans,Araya,1988-12-04,0,Femenino,10,2026-03-10 23:59:59,,True
1184,Roberto,Celedón,Fernández,1947-01-31,1,Masculino,10,2026-03-10 23:59:59,,False
1185,Arturo,Barrios,Oteíza,1967-07-22,1,Masculino,10,2026-03-10 23:59:59,,False
